
09/06/2025 07:16:36 | DEBUG | Login page loaded | IP: 172.70.91.222 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 07:16:36 | DEBUG | Request Method: GET | IP: 172.70.91.222 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 07:16:38 | DEBUG | Login page loaded | IP: 172.70.91.222 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 07:16:38 | DEBUG | Request Method: POST | IP: 172.70.91.222 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 07:16:38 | DEBUG | POST data: ["action","username","password"] | IP: 172.70.91.222 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 07:16:38 | DEBUG | Login attempt for username: admin | IP: 172.70.91.222 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 07:16:38 | DEBUG | Attempting to authenticate user: admin | IP: 172.70.91.222 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 07:16:38 | DEBUG | Password verified for user: admin | IP: 172.70.91.222 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 07:16:38 | DEBUG | Authentication successful for user ID: 1 | IP: 172.70.91.222 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 07:16:38 | DEBUG | Session variables set for user: System Admin | IP: 172.70.91.222 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 07:16:38 | DEBUG | Last login timestamp updated for user ID: 1 | IP: 172.70.91.222 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 07:16:39 | DEBUG | Activity logged to database for user ID: 1 | IP: 172.70.91.222 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 07:16:39 | DEBUG | Preparing to redirect to index.php | IP: 172.70.91.222 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 07:20:32 | DEBUG | Login page loaded | IP: 162.158.230.116 | User-Agent: Plesk screenshot bot https://support.plesk.com/hc/en-us/articles/10301006946066
09/06/2025 07:20:32 | DEBUG | Request Method: GET | IP: 162.158.230.116 | User-Agent: Plesk screenshot bot https://support.plesk.com/hc/en-us/articles/10301006946066
09/06/2025 08:22:33 | DEBUG | Login page loaded | IP: 172.70.85.253 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 08:22:33 | DEBUG | Request Method: GET | IP: 172.70.85.253 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 10:06:28 | DEBUG | Login page loaded | IP: 162.158.216.35 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 10:06:28 | DEBUG | Request Method: GET | IP: 162.158.216.35 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 12:09:09 | DEBUG | Login page loaded | IP: 172.69.224.83 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 12:09:09 | DEBUG | Request Method: POST | IP: 172.69.224.83 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 12:09:09 | DEBUG | POST data: ["action","username","password"] | IP: 172.69.224.83 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 12:09:09 | DEBUG | Login attempt for username: admin | IP: 172.69.224.83 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 12:09:09 | DEBUG | Attempting to authenticate user: admin | IP: 172.69.224.83 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
09/06/2025 12:09:10 | DEBUG | Password verified for user: admin | IP: 172.69.224.83 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
